Tweets,Score
"Nagutom lang ako, yun lang natutunan ko sa klase ni sir Vic. Magutom",0.00 
"Uy, gagi! 'Wag kang magpaniwala sa haka-hakang matagumpay ang Green Revolution sa panahong Marcosâ€”mas lalong nalugmok sa kahirapan ang mga Pilipino. Lumaganap ang malnutrisyon sa kabataan at bumagsak ang kita ng mga mamamayan.  #NeverAgain #NeverForget #OustDuterte",1.00 
so bat nambobomba ng tubig?,0.00 
"Marcos, Duterte, walang pinag-iba! Parehong tuta, diktador, pasista!  #NeverAgain  #MarcosNotAHero  #DuterteWakasan #OustDuterte",2.00 
Malinaw na malinaw na malinaw na pinapatagal lamang ang pandemya dahil alam ng pamahalaan na kayang-kaya sila pabagsakin ng mga mamamayan at ng sama-samang pagkilos.   Ang sagot sa covid at paghihirap ng sambayanan ay iisa lamang: OUST DUTERTE NOW!,2.00 
"MARCOS, HINDI MAGIGING BAYANI KAILANMAN!  Basahin ang buong pahayag ng NNARA Youth UPLB ngayong Martial Law Commemoration:  https://t.co/aakmISOfST  #NeverAgain #OustDuterte  https://t.co/ZKSzl663A1",1.00 
#NeverAgainToMartialLaw resist the rehabilitation of the Marcos family! stop Duterte from creating another political dynasty! OUST DUTERTE NOW!,2.00 
"As we remember the 49th anniversary of Martial Law, we call for justice for the victims of Marcosâ€™ dictatorship, and for the increasing victims of Duterteâ€™s de facto tyranny.   A dictator is not and will never be a hero. #MarcosNotAHero #NoToHistoricalRevisionism  #OustDuterte  https://t.co/OJX82CVC01",1.00 
#NeverAgain #NoToHistoricalRevisionism #EndImpunity #OustDuterte,1.00 
"DUTERTE, MARCOS, WALANG PINAG-IBA, PAREHONG TUTA, DIKTADOR AT PASISTA!  #NeverAgain #NeverForget #DutertePalpak #OustDuterte  [4/4]",2.00 
#NeverAgain sa Batas Militar at #MarcosHindiBayani! Hindi dapat mabali ang loob ng mga guro na ituro ang katotohanan at ipaglaban  ang katarungan. #OustDuterte ang pinakasulong na hakbang sa tunguhing ito.,1.00 
